question,views,posted
Does LPU have any option of pathway programs with Canadian universities for B.Tech?,342,2 years ago
Which college is better among Lovely Professional University and Dronacharaya College of Engineering?,69,2 years ago
Does AIFD has a better fashion design course than LPU? Which college has high fees?,40,2 years ago
I am confused about taking admission in LPU or SRM for CSE. As I SEE that SRM is very expensive then LPU and I also got scholarship in LPU.,20,2 years ago
I am confuse between two colleges for b.tech CS please give me suggestion  which is best for b.tech between LPU and Coer roorkee,91,2 years ago
Is srm good or lpu good for CSE.,125,2 years ago
Is KIIT IT branch better or LPU CSE?,28,2 years ago
Which is the best university for me? I have scored 85% in class 12th.,47,2 years ago
Which is the best option for BBA among Birla Institute and LPU?,273,2 years ago
Which college is better for B.Tech LPU or MMM?,140,2 years ago
"Which one is good for CS: LPU or DAV, Jalandhar?",159,2 years ago
Which college is better for BBA among Amity or LPU?,82,2 years ago
How is the placement record (maximum and minimum) of Lovely Professional University?,57,2 years ago
How is LPU for engineering?,119,2 years ago
How is LPU for pursuing computer science?,316,2 years ago
Which is the best college for B.Tech among Galgotias and LPU?,110,2 years ago
How is TMU compared to LPU University?,183,2 years ago
"Which is the best university to pursue B.Tech, LPU or SASTRA University?",159,2 years ago
"Which college is best among Christ, Doon Business School and Lovely Professional University for B.Com?",200,2 years ago
"Which among LPU, Chandigarh University and Chandigarh Group of Colleges is better for BBA?",148,2 years ago
Which college is better: KIIT or Lovely Professional University?,902,2 years ago
Which institute is better for B.Tech in CSE among RIMT University and LPU?,333,2 years ago
Is it beneficial to pursue LL. M. from LPU rather than from any Law school?,46,2 years ago
Which one will be better for agricultural science undergraduate program: Lovely Professional University or University of Queensland?,85,2 years ago
How is the lab facilities of LPU? How are the equipments?,28,2 years ago
Should I go for LPU if they provide me a scholarship of 80000 per year to pursue B.Tech CS?,71,2 years ago
"Which university is better, Amity University, Kolkata or LPU?",47,2 years ago
Which is better among Amity and LPU for MBA in finance?,153,2 years ago
Which is a better college among LPU and Galgotia for B.Tech in computer science?,295,2 years ago
Which is better college LPU or JIMS ROHINI.,288,2 years ago
Is LPU good to pursue B.Tech in automobile engineering?,172,2 years ago
"Which one is better among RVCE, Bangalore, LPU and SGSITS, Indore for CSE?",735,2 years ago
Is LPU best option for MBA?,247,2 years ago
ECE is better at LPU or at CU?,120,2 years ago
Fee structure of Lovely professional University?,95,2 years ago
Which is better for B.J. M. C. banasthali vidyapith or lpu?,93,2 years ago
What about B.Tech CSE in LPU?,239,2 years ago
WHICH INSTITUTION WILL BE BEST TO STUDY PGDM OR MBA 1. GJU HISAR 2. DAV COLLEGE CHD 3. KU UNI. 4. LPU 5. MAU HIMACHAL . PLEASE TELL ME .,223,2 years ago
Which college is better for B.Tech in CSE among LPU and Manipal University?,99,2 years ago
"Gl bajaj, lpu or chitkara university for CSE, which one is better?",32,2 years ago
Which college should I join for b.tech from c.s. galgotia university or college or lovely professional university or gla mathura,187,2 years ago
How are the labs facilities of LPU for Microbiology?,45,2 years ago
"Which one to choose among NIT, Srinagar for mechanical engineering and LPU for CSE?",73,2 years ago
"Which is the best university for CSE among LPU-Jalandhar and DIT-Dehradun in terms of faculty, placement and exposure?",215,2 years ago
"Which college is better among MIT, Pune and LPU?",68,2 years ago
Which MBA school will be better for me: LM Thapar School of Management or LPU or Mittal School of Business?,53,2 years ago
Which college is better between LPU and UPES for B.Tech in CSE?,30,2 years ago
Pl suggest which is better for B.Tech CSE upes or lpu or ncu.,61,2 years ago
"Which is the best college for ECE among Nirma University, LPU and Galgotias?",104,2 years ago
Is Lovely Professional University a good choice for engineering?,830,2 years ago
Which is the best university to pursue CSE among LPU and Saveetha University?,262,2 years ago
What are the marks required for getting CSE in LPU?,11,2 years ago
Which university should I prefer for B.Tech in CSE among Christ University and Lovely Professional University?,263,2 years ago
How about pursuing B.Des in multimedia design from LPU?,160,2 years ago
Can anyone get admission for B.Tech in CSE in LPU through LPUNEST exam? Can I crack LPUNEST with EAMCET level preparation?,349,2 years ago
How can I take CS branch in LPU and on what basis branch is decided?,77,2 years ago
"Which is a better option among LPU and Acharya Institute of Technology, Bangalore?",423,2 years ago
Can I pursue BCA from this college after 12th? I am weak in maths but my computers is strong.,234,2 years ago
Will LPU be the best option for B.Tech?,306,2 years ago
Is Chandigarh University good for aerospace or should I choose LPU or Hindustan University?,44,2 years ago
Is Chandigarh University better than LPU?,32,2 years ago
"Which college should I go for B.Tech CSE? I am confused between LPU, Amity and Graphic Era.",45,2 years ago
Admission procedure for lpu.,75,2 years ago
Which is the best college for placements among UPES and LPU?,47,2 years ago
When can I apply for BBA course in LPU Jalandhar? I am doing 12th this year from UP board. Did 10th from ICSE.,41,2 years ago
Which institute is better for pursuing Bachelors in Information Technology: LPU or CU?,140,2 years ago
Is LPU good or bad for aerospace engineering?,45,2 years ago
What's the major difference between a B.Tech and a B.Tech hons at LPU? Which one should I take?,8,2 years ago
Shall I do BA honors in arts from BHU or BBA honors from LPU?,149,2 years ago
Which one is better for fashion designing: LPU or Symbiosis Institute of Design?,508,2 years ago
"Which is a better university to pursue CSE, Amity University-Noida or LPU?",36,2 years ago
What is the option that NCC student is having in the future if study from LPU?,57,2 years ago
"Sir, tell me about the fee for SC candidate for B.Tech in aerospace engineering in LPU, Jalandhar.",90,2 years ago
"Which university is better for B.Tech CSE amongst Galgotias, LPU, Bhartiya Vidyapeeth-Pune, UPES-Dehradun and UPTU?",68,2 years ago
"Which is best for CSE: NIT, Sikkim or LPU?",382,2 years ago
Which subjects should I choose in B.Com? How can I take admission LPU? WHat is the fee structure of the course?,57,2 years ago
What are the advantages/dis-advantages of pursuing B.Tech in IT from Lovely Professional University? How is the campus life?,93,2 years ago
"Is there any chance to get a job in abroad, if I complete mechatronic engineering from LPU?",231,2 years ago
Which one should I choose among LPU and Parul for CSE?,135,2 years ago
Can I get admission in B.Des in fashion designing at LPU after completion of graduation in other discipline?,264,2 years ago
"Which university is better for mechanical engineering among LPU, SRM and SASTRA?",159,2 years ago
Which is better in terms of study and placement LPU or Chandigarh university?,31,2 years ago
Am I eligible to take admission in LPU university if I scored 60% in 12th?,26,2 years ago
"Sir, I have completed inter with BIPC stream. Can I join in B.Arch?",224,2 years ago
Is LPU a good college for CSE or is there any good college in Rajasthan better than LPU in which I can get admission?,35,2 years ago
Which is the better option for MBA: CU or LPU?,73,2 years ago
How are the placements in CS in LPU as compared to CSE in SRM?,8,2 years ago
"Which is the best university to pursue CSE, LPU or Sahara University?",102,2 years ago
Which college is better for CSC: SRM or LPU?,210,2 years ago
How is lovely professional university for BBA.,70,2 years ago
"Can I get admission in LPU, Punjab with 68% marks in BSEB board?",147,2 years ago
Which is best college SRKR or LPU?,229,2 years ago
What is the Eligibility criteria to join MBA at LPU?,41,2 years ago
"Which is a better college to pursue MBA in IB, RIIM or LPU? What is the fee structure of MBA in LPU?",109,2 years ago
LPU vs PSIT Kanpur which is better for ECE.,18,2 years ago
Which one should I prefer for B.Com Christ University or Lovely Professional University and why?,61,2 years ago
Which one is good among LPU and DY Patil University?,42,2 years ago
Should I opt for CSE in LPU or pursue B.Tech in IT from Oriental Institute of Science and Technology?,49,2 years ago
How can I get admission in LPU?,10,2 years ago
"Which is best for CSE: NIIT, Rajasthan or LPU, Jalandhar?",38,2 years ago
"Which is better among SKCET, Coimbatore and Lovely Professional University?",120,2 years ago
"Which one is better for B.Pharma among LPU, Sharda and Amity University?",46,2 years ago
Which one is better among Galgotias University and Lovely Professional University?,45,2 years ago
"Which college is better for B.Tech in CSE among LPU and Singhad Colleg, Pune?",110,2 years ago
"Is LPU better than IIT, Roorkee or not?",595,2 years ago
How is computer science engineering at Lovely Professional University?,121,2 years ago
"Which college is better for CS among PICT, MIT Pune, LPU and KIITS?",251,2 years ago
"Which college is better among LPU, VIT, Manipal, AMITY, SRM, KIIT and BITSAT?",1600,2 years ago
How about doing product design from LPU?,66,2 years ago
How was your experience studying at LPU?,119,2 years ago
I am about to start B.Tech from LPU. Can I get a good placement?,24,2 years ago
From where should I do B.Com LL.B: LPU or CT Group of Institutions because I could not pass LPU-NEST for Law?,408,2 years ago
"Among VIT, LPU, Saveetha Engineering College which is good for B.Tech in CSE? I have 94% in intermediate.",361,2 years ago
"Which one is better for B.Pharma among LPU, Sharda and Amity University?",31,2 years ago
"Which one is best for B.Tech CSE among LPU, Galgotia's and NIET?",188,2 years ago
What is the starting salary package of a mechanical engineering graduate of LPU?,42,2 years ago
"Which one is better for mechanical engineering between Chandigarh university, thapar, bml munjal, mit, and lpu?",13,2 years ago
Which university should I choose for petroleum engineering LPU or UPES?,11,2 years ago
"Which college is better for a B.Tech in IT, SRMCEM Lucknow or LPU Phagwara?",50,2 years ago
"Which is better among LPU and Manipal, Jaipur (I am getting a scholarship in LPU)?",121,2 years ago
I need detailed information about the course Diploma in architectural assistantship in Lovely Professional University?,98,2 years ago
Which is a better college to pursue CSE among LPU and BM Institute of Engineering and Technology (GGSIPU)?,62,2 years ago
Which is the best campus among VIT and LPU in all aspects? Please elaborate.,13,2 years ago
Which university is best for journalism between LPU and MSU?,57,2 years ago
"Hello everyone Please guys tell me about this college, how is the placements. Is it a good college for MBA.",59,2 years ago
Which college is better among SRM or LPU for CSE ?,823,2 years ago
"Which college should I prefer among LPU, NIT-Agartala and Assam University?",270,2 years ago
Which university has good placements: SRM or LPU?,12,2 years ago
"Which is a better college for BBA among Amity, Jaipur and LPU in terms of placement?",286,2 years ago
"Which is the best college among LPU & HBTU, Kanpur?",143,2 years ago
I got CGPA 9.82 and I got 78.55 JEE Mains score. Am I eligible for CSE at LPU?,29,2 years ago
Which private university is best for B.Tech Computer Science. LPU or VIT or SRM or Chandigarh University.,9,2 years ago
Does LPU has aerospace or aeronautical as a branch of engineering? What is the fees there?,37,2 years ago
Which one is better? Thapar or LPU? In placements.,11,2 years ago
Is LPU the best place to pursue B.Tech in CSE in terms of placement?,73,2 years ago
"Which Institute is good for graduation in Sciences, Miranda House, DU or LPU?",46,2 years ago
How is Lovely Professional University for pursuing B.Sc. (Hons) in Agriculture?,35,2 years ago
Which one is better among KIIT and LPU for CS?,168,2 years ago
LPU OR SATYABAMA OR GITAMS OR TOP 10 collages in eamcet  Which is best university to study csc bteck ?,338,2 years ago
Which is a better option among LPU and Manav Rachna for B.Tech in CSE?,82,2 years ago
What is the average and highest package offered?,1200,2 years ago
What are the different types of Course work options available at LPU for Ph.D. Part time.,61,2 years ago
Is LPU good for B.Tech computer science?,80,2 years ago
"Which is a better college to pursue CSE, BMS College-Bangalore or LPU?",157,2 years ago
Which college is best for placement: LPU or Banasthali or SASTRA University? I got 3592 rank in LPU-NEST 2018.,426,2 years ago
Should I opt for MBA in any of the top 30 B-schools or pursue CA?,8,2 years ago
Can anyone tell me about which to choose among these colleges for btech -- chandigarh university( mohali ) or chitkara or lpu,69,2 years ago
Is math is compulsory in lovely Profesnal university for BBA.,28,2 years ago
Is Lovely Professional University better than the government colleges of Uttarakhand?,137,2 years ago
"Which one is better for BBA among Chandigarh University, LPU and Amity University?",14,2 years ago
"Which one is good, UPES School of Business or Mittal School of Business in LPU?",71,2 years ago
"Which college is better among MS Ramaih, LPU, UPES Dehradun and Galgotias?",203,2 years ago
Which university is better among Lovely Professional University & Guru Jambeshwar University for B.Tech?,85,2 years ago
"Which is the best college to pursue MBA in marketing among JK business school, M.S.Ramaiah and LPU?",384,2 years ago
"Which is the best college, SRM, LPU, Amity or BITS?",208,2 years ago
Is LPU good for placement in computer science?,126,2 years ago
"Which is a better college to pursue CSE, LPU or DAVIET?",293,2 years ago
How is LPU for pursuing B.Tech in CSE?,86,2 years ago
Is LPU a good choice for civil engineering or not after completing Diploma?,104,2 years ago
How is Psychology course at LPU?,26,2 years ago
Which university is better among UPES and LPU?,86,2 years ago
Is it worth to pursue mechanical engineering from LPU? Which companies come for campus recruitment?,109,2 years ago
Which is the best field in B.Tech?,7,2 years ago
Which institute is better for pursuing CSE: LPU or MIT?,71,2 years ago
How will it be to do automobile engineering from Lovely Professional University?,58,2 years ago
What are the charges of hostel?,15,2 years ago
How is LPU for pursuing BBA?,86,2 years ago
"Which is the best option for B.Tech among Lovely Professional University, Sharda University, and Chandigarh University?",366,2 years ago
Is LPU a good college for fashion design?,234,2 years ago
"Which is overall best clg for MBA, IMED pune,LPU panjab, IPS jaipur,yashaswi IIMS pune, or any other",234,2 years ago
"I have 94% in intermediate, then how many marks are required to get CSE in LPU University?",392,2 years ago
I wan to join in LPU. CSE. Is it good?,39,2 years ago
Is Lovely Professional University a good choice for pursuing B.Tech CSE?,82,2 years ago
"Should I go for LPU, Amity or Alliance? I have done M.Com and want to do MBA in international business.",129,2 years ago
"Which college is better for B.Tech (CSE) among Dayanand Sagar, LPU and Sathyabhama?",135,2 years ago
Which is a better option among LPU and CBIT for CSE?,357,2 years ago
How is LPU to take admission in B.Tech CSE? Is it worth it for build up concept and also help to crack placement?,46,2 years ago
How is LPU and Oriental Institute of Science and Technology for ECE branch?,42,2 years ago
"I need some help with admissions in LPU University, Punjab.",74,2 years ago
What is the scope of placement after pursuing BBA from LPU?,168,2 years ago
Which institute is better for pursuing computer science engineering: Galgotias Chandigarh or LPU?,117,2 years ago
How is LPU better than CU in CSE?,29,2 years ago
Which college is best for B.Com: LPU or Poornima University?,60,2 years ago
"Which college is better among NIST, Berhampur and LPU, Jalandhar?",602,2 years ago
Which college is better for MBA among Galgotias and LPU?,129,2 years ago
Is LPU good for computer science engineering?,138,2 years ago
Which is the best college among LPU and Chandigarh University?,46,2 years ago
"Which one is better among PIMR, Indore and LPU for MBA?",464,2 years ago
Is Lovely Professional University a recognized university in Nepal?,59,2 years ago
Can I get admission in LPU in BTech with computer science (hons)?,79,2 years ago
"Is it good to move to Chandigarh or Jaipur for colleges like CGC, Jhanjeri, LPU and CU to pursue B.Tech in CSE in terms of placements?",216,2 years ago
Is there any course available in HR? I want to specialize in HRM(Human Resource Management).,121,2 years ago
Hii my name is pavan I am from Andhra Pradesh I got 86percent in inter+2 can I get a free seat in lpu university Punjab.,79,2 years ago
"Where should I go for B.Tech in computer Science engineering, upes, lpu or jaypee Noida sec.62.",11,2 years ago
I want to pursue agriculture Honours. Can I pursue it from LPU? Does it have good job aspects in the same field?,50,2 years ago
I got 51% in B.Com. Can I join MBA with MAT examination in Lovely Professional University?,209,2 years ago
I got 46 marks in JEE Mains and I belong to ST category. Can I apply for LPU?,69,2 years ago
How are the placement in lpu mechatronics engineering.,70,2 years ago
What are the placement records in automobile engineering?,58,2 years ago
I wish to join LPU for B.Sc maths. I am from commerce background in 12th & scored 94.9%. What is the fee structure from A to Z in LPU?,119,2 years ago
"Do we have a dual specialization or a dual degree in MBA?  Can we do 2 specializations like HR, IT or IT, Marketing in MBA from LPU?",123,2 years ago
Is Lovely Professional University better than National Law University for doing law?,244,2 years ago
"Which university is better for B.Tech in ECE among LPU, Punjab and JK Lakshmipat University, Jaipur?",308,2 years ago
Which one is better for B.Tech among SASTRA University and LPU?,228,2 years ago
Which one to choose for B.Tech lateral entry in civil engineering Jain University or LPU? I am confused help me choose the right college.,257,2 years ago
"Which is the best university to pursue B.Tech, LPU or Amity, Jaipur?",49,2 years ago
Which is a better option between Maharaja Agrasen Institute of Technology and Lovely Professional University for B.Tech in CSE?,165,2 years ago
"Which college is better for pursuing B.Tech in CSE, Galgotia or LPU?",256,2 years ago
Is it a good choice to pursue CSE from LPU?,138,2 years ago
Should I join B.Tech civil in LPU? Is it a right choice? Am I eligible to apply for government job after completing degree? Please help me.,94,2 years ago
"Which university is good for pursuing B.Tech, LPU or Sharda University?",266,2 years ago
How is LPU for pursuing computer Science?,49,2 years ago
"Which is a better college to pursue B.Tech among LPU and Oriental Institute of Science and Technology, Bhopal?",118,2 years ago
How can I get a scholarship in Lovely Professional University?,215,2 years ago
Which University is better for pharmacy Lovely professional University or Chandigarh University.,9,2 years ago
Which college is better among IET and LPU?,49,2 years ago
Which institute is better among Amity Noida and LPU for B.Sc forensic science?,161,2 years ago
Which are the best private colleges in Delhi and NCR for pursuing product design course? How is LPU?,166,2 years ago
Which one would be better -general BBA from Delhi University /Mumbai University or BBA with specialisation from LPU/ UPES?,57,2 years ago
Is LPU a good choice?,97,2 years ago
"Need expert help among these colleges which one is better for MBA-HR,for study n ROI. IMED puneLPU panjabPIMR indoreMIMT greator noida",164,2 years ago
"Which is best amongst Anna University , SRM and LPU?",259,2 years ago
"Which college is better for B.Tech in ECE among LPU, SRM and Satyabhama?",249,2 years ago
Which is the best college for CS LPU or Galgotia University.,20,2 years ago
Which is a better university for pursuing engineering between DAV University or Lovely Professional University?,273,2 years ago
"Which is the best university to pursue MBA in finance, LPU or BML Munjal University?",297,2 years ago
To which university tier does Chandigarh University and LPU belong to? What is their rank in India?,548,2 years ago
Which college to choose for pursuing CSE among JIIT and LPU?,297,2 years ago
Is the lpu is good option for chemical engineering.,34,2 years ago
I would like to know about architecture at LPU. Is it good for architecture. How about architecture placements at LPU. Please help.,675,2 years ago
"Which is a better university to pursue CSE among SRM University, Chennai and LPU?",126,2 years ago
Is LPU good for MCA placement?,22,2 years ago
if i secure 65% in 10+2 and 71 percentile in jee mains ..caan i get addmisin in btech,81,2 years ago
"Which college is better for CSE amongst LPU, JIIT, Galgotias and UPES?",372,2 years ago
What about automobile engineering? Which companies come there for recruitment?,124,2 years ago
Which one is better for B.Tech among LPU and Christ University?,457,2 years ago
"Is BCA (Hons) + MCA (Hons) the best option to do from LPU, Jalandhar? Will it be easy for me to get a placement after it?",181,2 years ago
"Should I opt for Guru Nanak Dev Engineering College which is a semi-Govt. college, LPU or any other universities like CU for B.Tech CSE?",83,2 years ago
Is this university good for B.Tech? Is the atmosphere of the university good for studies?,53,2 years ago
What is the donation in LPU university for computer Science?,58,2 years ago
"Which option is best for B.Arch- DIT-Dehradun, Gateway College, HZU-Dehradun, NIU-Noida and LPU?",54,2 years ago
Should I drop this year or take admission in LPU for pursuing B.Tech in civil engineering?,19,2 years ago
"Which is the best college for B.Tech among LPU, Amity and Galgotias?",256,2 years ago
Is LPU the best college for B.Tech (CSE)? How is its placement?,123,2 years ago
Which is the best college for B.Tech in Chandigarh? Which one is better among LPU and PEC University?,63,2 years ago
How is LPU for pursuing B.Tech?,108,2 years ago
Can I take admission in MBA in banking and finance stream? I got 67% in 12th commerce stream.,252,2 years ago
"Which is the best college for MBA/PGDM in international business among IILM-Delhi, IIMS-Pune and LPU?",123,2 years ago
Is LPU really good for B.Arch?,108,2 years ago
I am confused about taking admission in LPU or SRM for CSE. As I SEE that SRM is very expensive then LPU and I also got scholarship in LPU.,16,2 years ago
Is it true that 80 percent of students (LPU) get a placement package of 4 LPA?,113,2 years ago
"Which university is better for B.Tech, LPU or GITAM?",897,2 years ago
When to apply for admission in B.Sc. in forensic science course at Lovely Professional University?,322,2 years ago
Is UPES is good for B.A.llb . Or a Amity University or a LPU or a munjal university,35,2 years ago
How is LPU for pursuing engineering?,91,2 years ago
Which college is better among LPU and GITAM University?,269,2 years ago
Which college should I take among LPU and Oriental Institute of Science and Technology?,35,2 years ago
Which is the best course after B.Com in Punjab?,54,2 years ago
"Which University is best for m.pharm among Galgotias university Chandigarh university Chandigarh group of colleges ,landran And ,LPU",9,2 years ago
Is Lovely Professional University good for CSE?,54,2 years ago
I have passed 3 year Diploma in architecture. Am I eligible for this degree? What is the course duration?,69,2 years ago
How much package can I get after completing BBA from LPU?,103,2 years ago
How is aerospace faculty at LPU?,28,2 years ago
Is VIT a better option as compared to LPU?,197,2 years ago
Is LPU better for M.Pharma?,92,2 years ago
What is the percentage required in class 12th for getting admission in LPU and KPB Hinduja college for BBA?,65,2 years ago
I am doing B.Sc forensic science from Lovely Professional University. Can I get a chance to do M.Sc forensic science?,164,2 years ago
Which college is good for B.Tech in CSE in all the aspects- Manav Rachna or Chandigarh University?,11,2 years ago
"Is Amity, Gwalior is better than LPU for mass communication?",150,2 years ago
Which college is better for B.Tech in CS among LPU and SRM – Chennai?,229,2 years ago
What is cut-off of last year for B.Arch in LPU through NATA?,210,2 years ago
How is LPU in terms of placements?,64,2 years ago
How are Himgiri Zee and LPU university for pursuing LLB?,139,2 years ago
What is the minimum percentile required in JEE mains to get admission in sir JJ college of architecture and please don't advertise LPU here,11,2 years ago
How is LPU in terms of placement for MBA? Does it provide internships?,56,2 years ago
"Which is the best college to pursue mass communication course, LPU or Amity University, Noida?",23,2 years ago
What are the Sports Facilities offered by LPU to the students?,10,2 years ago
What is the placement record for CSE? What is the average and highest package offered for CSE?,60,2 years ago
Is it good to choose LPU for MBA in case if specialization is finance? How are the placements?,147,2 years ago
Can you compare between LPU and Jaypee?,141,2 years ago
How do universities like Amity University and Lovely Professional University contribute to the society and the nation?,5,2 years ago
How to get education loan to take admission in your college as I cannot afford to pay the big amount? Please tell me about loan.,74,2 years ago
Do you recommend to pursue mechanical engineering from LPU?,133,2 years ago
"Which is the best university to pursue B.Sc. (Hons) in chemistry, LPU, Sharda University, Galgotias University or KR Mangalam?",21,2 years ago
Which college is better among LPU and Madan Mohan Malviya University of Technology?,50,2 years ago
"Which is the best university to pursue BBA Amity University, BML Munjal or LPU?",66,2 years ago
Which of these is better: B.Tech in CSE from Lovely Professional University or BE in CSE from Chandigarh University (CU)?,81,2 years ago
Which is the better option for MBA: CU or LPU?,53,2 years ago
"How is LPU, Jalandhar for B.Tech CSE?",93,2 years ago
What is so special about interview preparatory classes at LPU? Doesn't every college do it?,131,2 years ago
Is it a good choice to pursue B.Com from LPU?,96,2 years ago
Which college is better to join: LPU or DIT?,39,2 years ago
What do you think about M.Tech civil at Lovely Professional University????,91,2 years ago
"Which college is better for law among LPU, Punjab and UPES, Dehradun?",341,2 years ago
Can my son get admission through lateral entry in B.Tech civil engineering in LPU?,18,2 years ago
Which is the best college for fashion designing in India?,81,2 years ago
Is this beneficial to participate in Sports at University Level? What is LPU's role in this respect?,4,2 years ago
Which is better: LPU or KIIT?,1300,2 years ago
How is Lovely Professional University for pursuing B.Tech in mechanical engineering? What about the placements for the same?,97,2 years ago
What is your review of Lovely Professional University?,720,2 years ago
Can I get a good job in an MNC after completing CSE from LPU?,63,2 years ago
Bio-Science Researchers and Scientists of LPU won the battle of developing 100% natural fruit flavored chocolates - is this true?,14,2 years ago
Is internship provided in LPU for BBA (Hons.) during the course period?,372,2 years ago
