question,views,posted
"Can I enroll for fashion designing in Lovely Professional University, Admission Office after class 12th?",84,11 months ago
How can I get a room with my friends in LPU hostel?,213,11 months ago
Does LPU have B.Tech in petroleum?,169,12 months ago
"Which is the best college for BBA among LPU, Amity-Jaipur, Prestige-Indore and Birla Institute-Jaipur in terms of placement?",63,11 months ago
How much is the fee for aerospace engineering at LPU? I got 148 marks in LPU-NEST.  Can I get a seat for aerospace engineering?,330,12 months ago
Which university is better among LPU and Symbiosis for BBA in IT?,602,11 months ago
Does LPU have any option of pathway programs with Canadian universities for B.Tech?,197,11 months ago
What is the placement record for B.Sc. (Hons. ). In Agriculture in LPU?,68,11 months ago
What is the syllabus of entrance test of LPU for MBA admission?,285,12 months ago
How Chitkara University and Lovely Professional University different on different basis?,220,11 months ago
Which institute is better for pursuing CSE: LPU or MIT?,151,11 months ago
is LPU a good university? I have qualified LPU NEST exam.,120,11 months ago
How is LPUs participation in NCC camps?,45,11 months ago
I have heard that LPU is very big. Is it true?,762,a year ago
How is the campus life at LPU?,371,a year ago
"Which university, among Chitkara, Chandigarh University, and LPU, received the highest NIRF ranking in 2023 across all categories?",37,11 months ago
What is the weightage of one question in LPU NEST?,19,11 months ago
How is the LPU Ph.D. interview?,74,11 months ago
"Looking for Engineering CSE, Amity, CU, Chitkara or LPU? Which option should I choose.",299,12 months ago
"I am 42 years old and cleared 10+2 with 55%, can I apply for LL.B?",387,a year ago
"Which is a better college to pursue B.Tech in CSE, LPU or CGC, Landran?",230,11 months ago
Will there be any LPU NEST 2023 application form correction window?,24,11 months ago
Is LPU good for mechanical engineering?,284,a year ago
Is the result of LPU NEST online proctored exam and LPU NEST test centre based exam results on the same day?,18,11 months ago
What is the full name of LPUNEST?,18,11 months ago
How is B.Sc. MLT at LPU?,93,12 months ago
How is B.Design user experience programme at LPU?,48,11 months ago
What documents are required for LPU NEST counselling?,8,11 months ago
Which is a better option for MBA among Lovely Professional University and Doon Business School?,2500,a year ago
In which mode are the LPU NEST applications accepted?,18,11 months ago
"Which college's faculty is better among CU and CGC, Landran for BE/B.Tech in CSE?",96,a year ago
I need to join lateral entry B.Tech..  I wish to join Lpu university..  Do u support ME?  My diploma % is  85 and 10th class % is 90,79,a year ago
"What factors determine the NIRF 2023 ranking? Which institution, Chandigarh University or LPU, is better for graduation?",20,11 months ago
What is the frequency of the LPU NEST 2023 exam?,11,11 months ago
Which is better for pursuing MBA - Chandigarh University or Chitkara University?,194,a year ago
What documents do I need to provide for online admission in LPU?,18,11 months ago
What is the last date to submit LPU NEST 2023 application form?,16,11 months ago
What is LPU NEST counselling?,12,11 months ago
Can I get admission in LPU without LPU NEST?,25,11 months ago
"Which university is better in terms of placement in UITHM Culinary Science, LPU, amity, chitkara or Chandigarh University?",416,a year ago
I got 138 marks in LPU NEST. Am I eligible for aerospace engineering in LPU University?,65,a year ago
How are seats allocated during LPU NEST counselling?,10,11 months ago
Can I apply for LPUNEST now?,920,a year ago
Should the passport-sized photograph uploaded on the LPU CET application be coloured or black and white?,15,11 months ago
Which university is good for MBA: Lovely Professional University or Amity University and why?,1300,a year ago
Why is the LPU NEST counselling conducted?,9,11 months ago
In which mode will the LPU NEST counselling be held?,7,11 months ago
"Is B.Tech from universities like LPU, Sharda University, Chandigarh University, Amity University and SRM University be really good?",241,a year ago
Is LPU good for placements of MBA? What may be the average salary package?,277,a year ago
"Which college is better among LPU and Manipal University, Manipal for M.Tech in mechanical background?",409,a year ago
"Which college is better amongst LPU, Thapar and SRM for B.Tech in computer Science engineering?",88,a year ago
How can candidates check the seat allotted by the Lovely Professional University?,10,11 months ago
Who can participate in LPU NEST counselling?,7,11 months ago
Is LPU good for placements of MBA? What may be the average salary package?,118,a year ago
Which is better Doon Business School or LPU for MBA?,350,a year ago
Can you provide the list of private engineering colleges with great placement?,272,a year ago
Is there weightage of LPU-NEST in LPU admission or I can get admission as I have secured 90% in boards?,193,a year ago
"Which institute is better for CSE amongst DIT-Dehradun, Satyabhama, LPU and CU?",68,a year ago
Which college is better for B.Tech in CSE: Lovely Professional University or AU Noida?,451,a year ago
Can I know if the LPU is government-recognized?,101,a year ago
Is LPUNEST 2016 in online mode?,121,11 months ago
What is the eligibility for LPU for a B.Tech in CSE?,61,a year ago
"Which university is better in terms of placement in AIT CSE, LPU, amity, chitkara or Chandigarh University?",342,a year ago
"Which college is better for B.Sc. Agriculture in Amity University, Noida or LPU, Jalandhar?",860,a year ago
Is LPU good for an MBA?,23,11 months ago
How is  Lovely Professional University for pursuing B.Sc (Hons) in Agriculture?,639,a year ago
Does LPU provide decent opportunities for M.Sc biotechnology?,198,a year ago
Which one should I choose - LPU for CSE or UPES for B.Tech in CSE? I am really confused.,67,a year ago
"Which university best for MBA ana M.A. Economics Chandigarh university, chitkara university or lpu.",782,a year ago
Which university is better for B.Sc. & M.A. Economics - Chandigarh University or LPU?,165,3 years ago
What are the procedures that I need to clear after NATA to get admission for B.Arch in LPU? I have 64% in 12th and 140 in NATA.,372,a year ago
I have scored 59.8% in 12th. Can I take admission in LPU for B.Tech CSE?,141,12 months ago
"Which is the best option in terms of placement for CSE among Lovely Professional University, Galgotias University or any other?",268,a year ago
Which one is better among Galgotias University and Lovely Professional University?,1600,a year ago
"I already applied for LPU NEST exam for CSE course yesterday, but it is showing no slot available so what to do now?",17,11 months ago
Which is best between LPU and G.D Goenka University for BBA?,250,a year ago
Is it a good choice to pursue BBA+MBA from LPU?,329,a year ago
How is the campus life of the first year students in LPU?,127,a year ago
How is hostel life at Lovely Professional University?,107,a year ago
Which university has high ranking between LPU and Amity University in Delhi for B.Tech engineering?,331,a year ago
What is the average placement of LPU for MBA? Is better to choose LPU for MBA?,175,a year ago
Is LPU a good college for B.Tech in CSE branch?,258,a year ago
Who can apply for the LPU NEST exam?,17,11 months ago
"Which is the best university to pursue B.Sc (Hons) in chemistry, LPU, Sharda University, Galgotias University or KR Mangalam?",309,a year ago
Is LPU a good college for CSE?,227,a year ago
What about the extra curricular activities?,61,a year ago
Should I choose a reputed government college for CSE or pursue the same from a private university like LPU or Chitkara?,306,a year ago
I got 138 marks in LPU NEST. Am I eligible for aerospace engineering in LPU University?,300,a year ago
Which college is good for me LPU or Banasthali Vidyapeeth? I got 3592 rank in LPU-NEST exam 2018.,465,a year ago
How is LPU for BBA. I want to know about placements?,113,a year ago
"Does LPU, Delhi branch offers correspondence course only?",98,a year ago
Is LPU good for Mechanical engineering?,566,a year ago
Which is a better university to pursue BBA among LPU and Chitkara University Chandigarh?,1300,a year ago
CAN I GET DIRECT ADMISSION NOW IN BPT,123,a year ago
Does LPU offer direct admission for MBA?,283,a year ago
Is LPU good for B.Tech CSE? Why I should Opt LPU instead Of BITS pilani?,82,a year ago
What do we mean by doing integrated BBA+MBA? Is it graduate or postgraduate degree at lovely professional university.,11,a year ago
What do you mean by credit transfer in BBA at LPU?,121,a year ago
"I want to join Hotel Management programme after B.Com at LPU, how can I proceed?",51,a year ago
Does LPU offer bachelor's in automotive engineering?,80,a year ago
Which is the best among LPU and CGC in terms of placements?,73,a year ago
Which college is good for CSE among Galgotias and LPU in terms of placements?,147,a year ago
"Which university offers the best opportunities amongst LPU, Chandigarh University and Chitkara for an internship in BSc biotechnology?",43,a year ago
Does product design include furniture designing only?,73,a year ago
Is LPU (Lovely Professional University) a worthwhile engineering college for mechanical?,47,a year ago
"Which is the best college to pursue mass communication course, LPU or Amity University, Noida?",40,a year ago
I have got rank 9904 in UPSEE so can I go for LPU or wait for the UPSEE counseling?,175,a year ago
"Which one is better for B.Tech among CSE, LPU, JIIT Noida and Galgotia University?",36,a year ago
Is LPU good for BBA?,496,a year ago
"Can I know which one is the best, Techno India or Lovely Professional University?",191,a year ago
Which university is better for B.Tech CSE among Chitkara University and LPU?,1900,a year ago
What is the placement record for B.Sc. (Hons.) in Agriculture in LPU?,1400,a year ago
Can you please tell me about the placements of B.Sc agriculture batch of Lpu?,141,a year ago
Can I get direct admission in the 3rd-year B.Tech in LPU after completing 2-years from other universities?,261,a year ago
How can I get a duplicate LPU NEST admit card if in case I lose it?,16,12 months ago
Is Lovely Professional University (LPU) the best for a BCA in India?,118,a year ago
Is taking admission in LPU for B.Tech in petroleum a good choice?,95,a year ago
Is it right to choose SRM or LPU for automobile engineering?,358,a year ago
Which one is better for B.Tech CSE among LPU and SASTRA University?,461,a year ago
How many number of lectures students attend in a day?,44,a year ago
How are the placements for MSc Biotech students and which companies visit LPU for placements?,57,a year ago
How is LPU for B.Tech in CSE?,526,a year ago
What is the rank of LPU for pharmacy?,869,a year ago
Do they offer abroad tour in MBA program?,183,a year ago
"Can I know about the personality development program in LPU,Punjab?",243,11 months ago
"Which is the best college for studies and placement after B.Tech CSE among LPU and SRM, Chennai?",24100,a year ago
Can I get government job after b.sc agriculture (hons) from lovely professional university.,38,a year ago
How is the lab facilities of LPU?,130,a year ago
Is there any dress code in LPU for B.Tech students?,911,a year ago
"Which engineering college should I choose among VIT, SRM, Amity, Amrita, LPU, KIIT, Thapar and Manipal for CSE?",196,a year ago
"Jecrc, poornima university or lpu which one is best for placement after BBA?",91,a year ago
What are companies that visit at LPU for Civil Engineering?,686,a year ago
Which is the best among LPU and CGC in terms of placements?,1500,a year ago
"Which college is better for MBA amongst Chitkara Business School, L. M. Thapar School of Management, Amity University and LPU?",1000,a year ago
I want to join LPU through my IPE marks. Is it possible?,11,a year ago
Which university is better for MBA: LPU or Chitkara University?,891,a year ago
How is LPU for sports? Has any LPU student gotten selected for the Indian Army?,51,a year ago
"Which university is best in terms of rankings and affiliations, CU or LPU?",437,a year ago
Is Lovely Professional University currently accepting applications for the 2023-24 academic year?,20,a year ago
Is LPU a good option for aerospace engineering?,476,a year ago
Which one is better among Thapar University and LPU for CSE?,2300,a year ago
"Which one is better for MBA, Chitkara, Manipal, LPU, BML Munjal or SNU?",174,a year ago
Is LPU banned in any embassy like Canadian embassy?,3600,a year ago
Which one is better- PGDM from Jaipuria Institute of Management or MBA from Lovely Professional University?,1000,a year ago
"Which college is better for BBA LLB among KIIT Bhubaneshwar, SASTRA Thanjavur and LPU?",8,a year ago
Is LPU a fraud university or the best?,280,a year ago
"Which college is better for B.Tech in CSE: Lovely Professional University or SRM University, Chennai?",2100,a year ago
Can a non-student of LPU visit LPU to meet friends?,447,a year ago
Is chitkara University is better or lpu or Chandigarh University or thapar or MIT Pune or bhartia vidhya peeth for B.Tech CSE? RANK them.,1100,a year ago
Is it worth to pursue B.Tech in CSE from LPU? How is the atmosphere? What is the placement record?,391,a year ago
"Which is the best college in terms of curriculum, Hindustan College, Mathura or LPU?",107,a year ago
Does LPU provide MBA with dual specialisation?,318,a year ago
Is LPU really good for B.Arch?,356,a year ago
"Which is best between Lovely Professional University and Doon Business School, Dehradun for pursuing BBA? Please answer.",510,a year ago
Should I consider doing an MBA from LPUs B-School?,56,a year ago
How is the faculty for MBA HR and Marketing?,131,a year ago
What is the annual fees for B.Sc agriculture at LPU?,342,a year ago
How is LPU for pursuing B.Tech in biotechnology?,480,a year ago
Is the degree awarded by LPU valid to apply for a government job?,72,a year ago
When is the last date to book online slots at LPU?,25,a year ago
Which are the work-integrated programs that LPU offers?,360,a year ago
Will I get a direct admission in LPU with 65 percent marks in 12th?,76,a year ago
How is the placement for BBA+MBA from LPU? I have scored 97% in 10+2. Can I join without LPU-NEST?,460,a year ago
"Which one is best to pursue in LPU, BCA or B.Tech in biotechnology?",224,a year ago
Which is the best college for BBA in India in terms of salary package? Is LPU a good college in terms of package and placement?,597,a year ago
Which is the best university for BCA among Christ University and LPU?,161,a year ago
"Is the LPU-NEST entrance syllabus(physics,chemistry,etc) same for MBA in tourism and hospitality ?",761,a year ago
"Which one is best for B.Tech computer science: Lovely Professional University or PSIT, Kanpur?",556,a year ago
Can I get a seat or opportunity to study at LPU? My JEE Mains AIR is 106329.,155,a year ago
How is LPU rated for engineering courses? Does it have good placement and faculty members?,130,a year ago
"Which university is better to pursue computer science engineering: LPU, Amity University, Sharda University or Thapar University?",2400,a year ago
How is LPU for B.Tech?,534,a year ago
How is LPU in terms of placement for MBA?,537,a year ago
Does LPU has aerospace or aeronautical as a branch of engineering? What is the fees there?,799,a year ago
Is LPU a recognised university?,8,a year ago
How is aerospace faculty at LPU?,368,a year ago
"Amongst Chandigarh University, LPU and Chitkara University which one is good for Mechatronics Engineering?",106,a year ago
Is the result of LPU NEST online proctored exam and LPU NEST test centre based exam on the same day?,22,a year ago
"One important question. Please tell which college is better for pursue B.Tech from CSE L.P.U, Jalandhar or JECRC, Jaipur ? Thanks in advance",897,a year ago
"Which is better: DAV University, Daviet, LPU or Chitkara for a B.Tech in Computer Science and engineering and why?",110,a year ago
What all courses are offered by LPU?,31,a year ago
I am confused in deciding  lpu jalandhar and srm chennai  for B.Tech cse honours which is good among both,7300,a year ago
Does LPU has any industrial tie ups for engineering?,179,a year ago
Will I get admission in LPU if I get 114 marks in LPU-NEST?,251,a year ago
Which is better for B.Tech in CSE: LPU or JECRC?,8100,a year ago
Does LPU conduct any entrance exams for admission?,31,a year ago
"Which is the best college to pursue B.Tech in CSE, LPU, SRM or CGC?",880,a year ago
Is writing LPUNEST exam needed if passed with 80% marks in 10+2?,921,a year ago
"Which one is better for B.Tech among VIT, LPU or SRM?",743,a year ago
How are the placements in CS in LPU as compared to CSE in SRM?,788,a year ago
How are the placements at LPU?,20,a year ago
Does Lovely Professional University offer BE degrees?,299,a year ago
I want to pursue BBA in information technology in LPU. What are the career prospects for me after completing this?,546,a year ago
How is Lovely Professional University for MBA in hospital management?,509,a year ago
Is LPU good for M.Sc biotechnology? What about the placements and package for M.Sc biotechnology students in LPU?,98,a year ago
Does LPU offer any courses M.A. Psychology?,119,a year ago
Fees structure of LPU for B.Sc. Agriculture.,816,a year ago
I got 8.3 gpa in my 12th. And scored 186 in LPU-NEST. Can I get CSE with these scores?,157,a year ago
How difficult is it to crack LPU-NEST MBA? What is the cut-off to get into it? Thank you.,1300,a year ago
Is it a good idea to do B. Plan at LPU?,77,a year ago
Can I get admission in LPU for a B.Tech in CSE after scoring a 76% in Class 12?,137,a year ago
Can I get CSE in LPU with a rank of 4444 in LPU-NEST? If I get CSE through which counseling round I will get it?,216,a year ago
Is LPU University a good option for Engineering?,14,a year ago
Which industry immersion programs does LPU offer for a B.Tech in CSE?,90,a year ago
What are the best courses for girls in LPU?,79,a year ago
How is LPU for B.Arch? How are the placements?,408,a year ago
Is M.Tech in cyber security available in LPU? How to get admission in LPU?,101,a year ago
How is the residential facility at LPU?,382,a year ago
"I have got 38,000 rank in kcet I am interested in computer Science which college I should join now in Bangalore ?my caste is 2AG",415,a year ago
How are the placements of B.Tech in CSE from LPU?,726,a year ago
Is it a good choice to pursue B.Tech from LPU?,225,a year ago
I got 138 marks in LPU NEST. Am I eligible for aerospace engineering in LPU University?,144,a year ago
"I want to pursue Logistics and supply chain management. Can I get admission in any of the three colleges - LPU, Chitkara and BML?",106,a year ago
Which is a better institute among LPU and DIT?,758,a year ago
How is LPU for pursuing integrated MBA (BBA+MBA)?,347,a year ago
Can I get B.Tech (CSE) in LPU with AIR of 9864  in LPUNEST 2017?,218,a year ago
Is LPU a good choice for aerospace engineering?,307,a year ago
Is it compulsory to have mathematics as a subject in 12th to take admission in B.Com(Hons.)?,699,a year ago
Is LPU good for pursuing MBA?,260,a year ago
What are the differences between Chitkara University and Lovely Professional University in Punjab for B.Tech programs?,44,a year ago
Is Lovely Professional University good for zoology (Hons.)?,256,a year ago
Does LPU offer photography course?,295,a year ago
How can I score above 90% in LPU-NEST for B.Sc agriculture and what all chapters should I focus more on?,483,a year ago
"Which college among LPU and Amity, Dubai is good for automotive engineering?",315,a year ago
"Is LPU, Jalandhar a good college for B.Tech in CSE and does it have good placements?",412,a year ago
"Which one should I choose between LPU and IPU, Delhi?",276,a year ago
Is it hard to pass LPU-NEST for an average student?,333,a year ago
What is the average placement record for MBA in LPU? Which specialisation is better in MBA among marketing and tourism & hospitality?,525,a year ago
Does Lovely Professional University offer any scholarship to the students whose fathers are government employees?,220,a year ago
"Which is a better college to pursue B.Tech, Thapar University or LPU?",368,a year ago
Will I get admission in LPU if I get 114 marks in LPU-NEST?,99,a year ago
What are the accreditation earned by LPU.,295,a year ago
Can I get admission in LPU?,458,a year ago
Which University is best in all aspects to pursue CSE:- THAPAR UNIVERSITY or LPU?,91,a year ago
Can I get admission in lovely professional university if my 12th percentage is 94 percent without attended to LPU NEST test?,134,a year ago
Does Lovely Professional University offer better placement to CSE aspirant than Kurukshetra University?,188,a year ago
Does LPU offer internships to BBA IT students?,211,a year ago
"For BBA, which one is better: LPU or CU?",175,a year ago
I have secured 75% in graduation in microbiology honors. How can I apply for M.Sc microbiology in LPU?,84,a year ago
How are the placements for MCA at LPU?,1200,a year ago
Does LPU offer BBA in IB course?,108,a year ago
"Which one is better among LPU, RIIM Pune and IMED?",184,a year ago
"Which university has the best internship opportunities for an MBA in business analytics, Chandigarh University, LPU, or Chitkara?",96,a year ago
How can the LPU book the exam slot of candidates?,18,a year ago
Can I know what is the fee to sit in campus placement at LPU?,118,a year ago
How is the overall experience doing a B.Com at LPU? Is it worth it? I'm also looking forward to do the same programme.,232,a year ago
Can I get a scholarship in LPU via 12th scores if I have passed LPU NEST but if I get better marks in 12th?,66,a year ago
Is Lovely Professional University good for MBA?,228,a year ago
How is the placement assistance of B.Tech in biotechnology in LPU?,263,a year ago
What is the fee structure of BBA in LPU?,690,a year ago
Do you provide 100% placements for MBA?,135,a year ago
"How is internship at LPU, do I have to search of my own or will LPU help me.",330,a year ago
"Which university is good for MBA in healthcare management among LPU, Chitkara University and IIHMR Delhi?",138,a year ago
Is LPU a good college for B.A(Hons.) in psychology? What is the fee structure?,235,a year ago
Is LPU good for CSE placements?,363,a year ago
What is the highest package offered to a BBA student at LPU?,108,a year ago
I got 940 marks in intermediate and 7658 rank in LPU-NEST. Can I get a seat in LPU for CSE branch?,390,a year ago
How is LPU Jalandhar for pursuing BBA? I am not getting a seat in any government college.,111,a year ago
Will I get admission in LPU if I get 114 marks in LPU-NEST?,144,a year ago
"Which institute is better for CSE amongst DIT-Dehradun, Satyabhama, LPU and CU?",527,a year ago
"I got 70% in +2 and want to join B.Tech CSE, how to get admission in case if I do not qualify LPU-NEST? I would like to pay donation also.",179,a year ago
What is the procedure to get admission in LPU in CSE branch? I have given LPUNEST and I wanted to know the criteria for selection in the CSE,157,a year ago
"Which is better, LPU or Thapar University?",136,a year ago
"I am from Tripura, general category. How much do I need to get in LPU-NEST to get a scholarship for B.Tech? Is LPU worth giving a shot?",257,a year ago
I have got selected for LPU. I can hardly afford fees and expenses. Would I be able to manage?,27,a year ago
Can I get admission in LPU without appearing for LPU NEST and JEE Mains exam?,141,a year ago
Can I take admission in LPU without giving LPU NEST. I'm expecting to get around 70-79% in my 10+2 board exam.,159,a year ago
Is LPU good for pursuing MBA?,600,a year ago
Does LPU has JEE Mains cutoff?,251,a year ago
Does LPU accept MAT and CAT marks? Why is LPU-NEST conducted?,873,a year ago
What if I don't have 60% aggregate but wants admission in LPU? My rank is 10855 in LPU-NEST.,112,a year ago
How can I pursue B.Sc in agriculture from Lovely Professional University? What is the admission procedure and eligibility criteria?,396,a year ago
Can I get the reviews for MCA course in LPU? How is the placement assistance there?,1100,a year ago
What will be the fee for B.Tech (CSE) in LPU? I have qualified LPU NEST.,64,a year ago
What is fee structure of hostel including mess in LOVELY PROFESSIONAL UNIVERSITY,1500,a year ago
What is the full form of LPU.,148,a year ago
"Which is the best university for B.Tech in CSE among LPU, Jalandhar and ITER, Bhubaneswar?",690,a year ago
Only 11th and 12th standard results are enough for admission seat or else we should compulsory write the NEST exam?,316,a year ago
"Which private university has good placements amongst Chiitkara, LPU, and Chandigarh University in automobile engineering?",212,a year ago
"Which is better, LPU or BHU for B.Tech?",89,a year ago
Which is better among Bhagwant University and Lovely Professional University for B.Tech agricultural engineering?,347,a year ago
Is it good to study computer Science in LPU?,373,a year ago
Is LPU good for BCA?,55,a year ago
What is the syllabus for M.Sc microbiology in LPU-NEST?,251,a year ago
How are the placements of LPU?,396,a year ago
How do I get more CGPA in lovely professional university?,492,a year ago
Is there a Lovely Professional campus in Delhi?,53,a year ago
How is LPU for engineering?,285,a year ago
Are there too many students from Punjab at Lovely Professional University?,308,a year ago
Can I know Is there a scholarship test in LPU?,373,a year ago
"How far are PG accommodations from LPU, and what is the cost of staying in a PG?",30,a year ago
"What is the difference between management and engineering programs at Lovely Professional University in Hyderabad, India in terms of job?",24,a year ago
"Which is better to pursue CS among Chandigarh University, Chitkara and Lovely Professional University?",1300,a year ago
"I'm a commerce student. For getting admission in LPU Punjab for B.Com , will I have to write LPU-NEST exam. Or how will I get into it ?",621,a year ago
Why is the B.Sc nursing option not showing up in LPU website?,31,a year ago
"Which is a better university to pursue B.Tech in civil engineering, Thapar University or LPU?",557,a year ago
I have scored 84% in CBSE 12th and 191 in JEE paper 2 but didn't appear for NATA. Am I eligible to take admission in B.Arch?,614,a year ago
M.A. History 1st years question answer from lpu.,76,a year ago
Can I get admission in LPU? I have my grades below 60%.,291,a year ago
Can you tell me about the lovely professional university?,247,a year ago
Which university offers better placements for MBA LPU or Chitkara?,284,a year ago
